FIPS	relig	civic	bus	pol	prof	labor	bowl	fitns	golf	sport	pop	respn	nccs	assn	pvote
13149	7	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	11606	0.775460968	0.78	28	0.763822776
13151	111	2	3	2	1	3	1	14	6	N/A	213738	0.669043408	0.76	680	0.741843039
13153	83	3	3	N/A	N/A	2	1	11	4	N/A	149228	0.717023615	0.74	434	0.7278654
13155	6	N/A	2	N/A	N/A	1	N/A	1	2	N/A	9091	1.3199868	0.73	30	0.768704663
13157	41	2	6	N/A	N/A	1	N/A	3	3	N/A	61848	0.905445609	0.76	182	0.743678233
13159	7	N/A	2	N/A	N/A	1	N/A	N/A	1	N/A	13440	0.818452381	0.77	43	0.75652283
13161	13	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14862	1.009285426	0.53	43	0.714419601
13163	18	N/A	2	N/A	N/A	N/A	N/A	N/A	2	N/A	16237	1.354930098	0.76	83	0.744238221
13165	7	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9129	0.876328185	0.66	28	0.700557967
13167	13	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9707	1.442258164	0.57	31	0.759259259
13169	16	N/A	1	N/A	1	1	N/A	2	1	N/A	28791	0.764127679	0.66	56	0.771854875
13171	17	N/A	2	N/A	N/A	1	N/A	1	1	N/A	18212	1.207994729	0.72	66	0.651729762
13173	7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10390	0.673724735	0.53	26	0.697980272
13175	49	3	3	N/A	N/A	N/A	1	4	2	N/A	47777	1.297695544	0.72	186	0.753942004
13177	10	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	29159	0.411536747	0.85	60	0.733279526
13179	34	3	3	N/A	N/A	4	N/A	2	2	N/A	65141	0.736863112	0.72	163	0.603808813
13181	14	N/A	2	N/A	N/A	N/A	N/A	N/A	1	N/A	7603	2.23595949	0.7	29	0.743240974
13183	6	N/A	1	N/A	N/A	1	N/A	N/A	N/A	N/A	17176	0.465766185	0.4	21	0.584293837
13185	83	7	5	N/A	N/A	7	1	9	3	N/A	113563	1.012653769	0.73	388	0.764424392
13187	12	1	2	N/A	1	N/A	N/A	2	N/A	N/A	31141	0.57801612	0.79	120	0.707106731
13189	21	1	2	N/A	N/A	N/A	N/A	N/A	1	N/A	21535	1.160900859	0.74	73	0.790831891
13191	8	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14007	0.71392875	0.41	58	0.702214839
13193	14	N/A	1	N/A	N/A	N/A	N/A	N/A	1	N/A	13818	1.157909972	0.58	37	0.740551425
13195	32	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	28388	1.162463013	0.81	67	0.779611037
13197	3	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8772	0.455996352	0.52	26	0.733287069
13199	21	N/A	2	N/A	N/A	1	N/A	N/A	1	N/A	21203	1.179078432	0.76	68	0.715366795
